[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/IMG_6277-768x512.jpg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/IMG_6277-768x512.jpg
[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/cropped-IMG_0264-1.jpg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/cropped-IMG_0264-1.jpg
[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/cropped-IMG_0269-1024x1024.jpg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/cropped-IMG_0269-1024x1024.jpg
[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/20161227_113445-1024x576.jpg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/20161227_113445-1024x576.jpg
[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/cropped-IMG_3194-300x300.jpeg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/cropped-IMG_3194-300x300.jpeg
[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/20161227_113445-768x432.jpg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/20161227_113445-768x432.jpg
[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/IMG_6283-150x150.jpg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/IMG_6283-150x150.jpg
[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/cropped-IMG_0269.jpg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/cropped-IMG_0269.jpg
[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/IMG_0264-768x576.jpg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/IMG_0264-768x576.jpg
[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/20161227_113445-1536x864.jpg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/20161227_113445-1536x864.jpg
[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/IMG_6283-768x512.jpg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/IMG_6283-768x512.jpg
[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/cropped-IMG_6239-1021x1024.jpg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/cropped-IMG_6239-1021x1024.jpg
[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/cropped-cropped-IMG_0264-1-300x300.jpg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/cropped-cropped-IMG_0264-1-300x300.jpg
[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/cropped-cropped-IMG_4804-1-1024x553.jpeg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/cropped-cropped-IMG_4804-1-1024x553.jpeg
[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/cropped-cropped-IMG_3061-150x150.jpeg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/cropped-cropped-IMG_3061-150x150.jpeg
[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/cropped-cropped-cropped-IMG_4804-1-1024x1024.jpeg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/cropped-cropped-cropped-IMG_4804-1-1024x1024.jpeg
[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/cropped-cropped-IMG_4804-1-300x162.jpeg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/cropped-cropped-IMG_4804-1-300x162.jpeg
[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/IMG_6239-150x150.jpg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/IMG_6239-150x150.jpg
[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/IMG_0264-1536x1152.jpg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/IMG_0264-1536x1152.jpg
[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/IMG_4803-1536x1152.jpeg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/IMG_4803-1536x1152.jpeg
[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/cropped-IMG_3061.jpeg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/cropped-IMG_3061.jpeg
[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/cropped-cropped-cropped-IMG_4804-1.jpeg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/cropped-cropped-cropped-IMG_4804-1.jpeg
[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/IMG_6239-683x1024.jpg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/IMG_6239-683x1024.jpg
[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/cropped-IMG_4804-768x576.jpeg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/cropped-IMG_4804-768x576.jpeg
[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/cropped-IMG_3061-768x576.jpeg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/cropped-IMG_3061-768x576.jpeg
[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/IMG_6239-1365x2048.jpg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/IMG_6239-1365x2048.jpg
[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/IMG_0264.jpg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/IMG_0264.jpg
[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/cropped-IMG_4803.jpeg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/cropped-IMG_4803.jpeg
[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/cropped-cropped-IMG_4804-2-300x300.jpeg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/cropped-cropped-IMG_4804-2-300x300.jpeg
[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/IMG_6239.jpg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/IMG_6239.jpg
[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/IMG_4804-1536x1152.jpeg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/IMG_4804-1536x1152.jpeg
[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/IMG_0264-300x225.jpg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/IMG_0264-300x225.jpg
[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/IMG_6239-1024x1536.jpg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/IMG_6239-1024x1536.jpg
[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/cropped-IMG_4804-2.jpeg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/cropped-IMG_4804-2.jpeg
[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/cropped-cropped-cropped-IMG_4804-2-300x153.jpeg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/cropped-cropped-cropped-IMG_4804-2-300x153.jpeg
[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/cropped-cropped-IMG_0269-1024x1024.jpg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/cropped-cropped-IMG_0269-1024x1024.jpg
[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/cropped-cropped-IMG_4804-2-150x150.jpeg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/cropped-cropped-IMG_4804-2-150x150.jpeg
